datetime,rate
2015050523,1.0
2015050600,1.0
2015050601,3.0
2015050602,3.0
2015050603,4.0
2015050604,4.0
2015050605,3.0
2015050606,1.0
2015050607,0.0
2015050608,0.0
2015050609,2.0
2015050610,2.0
2015050611,2.0
2015050612,1.0
2015050613,1.0
2015050614,0.0
2015050615,3.0
2015050616,1.0
2015050617,0.0
2015050618,1.0
2015050619,1.0
2015050620,2.0
2015050621,1.0
2015050622,0.0
2015050623,1.0
2015050700,1.0
2015050701,0.0
2015050702,0.0
2015050703,0.0
2015050704,0.0
2015050705,0.0
2015050706,1.0
2015050707,2.0
2015050708,2.0
2015050709,2.0
2015050710,0.0
2015050711,1.0
2015050712,0.0
2015050713,2.0
2015050714,2.0
2015050715,2.0
2015050716,2.0
2015050717,0.0
2015050718,3.0
2015050719,1.0
2015050720,1.0
2015050721,3.0
2015050722,2.0
2015050723,1.0
2015050800,2.0
2015050801,3.0
2015050802,2.0
2015050803,0.0
2015050804,1.0
2015050805,2.0
2015050806,1.0
2015050807,0.0
2015050808,1.0
2015050809,1.0
2015050810,1.0
2015050811,3.0
2015050812,1.0
2015050813,0.0
2015050814,1.0
2015050815,0.0
2015050816,0.0
2015050817,4.0
2015050818,2.0
2015050819,0.0
2015050820,2.0
2015050821,0.0
2015050822,1.0
2015050823,0.0
2015050900,1.0
2015050901,0.0
2015050902,0.0
2015050903,0.0
2015050904,1.0
2015050905,3.0
2015050906,0.0
2015050907,0.0
2015050908,2.0
2015050909,1.0
2015050910,4.0
2015050911,0.0
2015050912,0.0
2015050913,3.0
2015050914,1.0
2015050915,1.0
2015050916,2.0
2015050917,2.0
2015050918,0.0
2015050919,1.0
2015050920,0.0
2015050921,1.0
2015050922,1.0
2015050923,0.0
2015051000,0.0
2015051001,2.0
2015051002,1.0
2015051003,0.0
2015051004,0.0
2015051005,2.0
2015051006,1.0
2015051007,0.0
2015051008,0.0
2015051009,1.0
2015051010,0.0
2015051011,0.0
2015051012,0.0
2015051013,1.0
2015051014,1.0
2015051015,0.0
2015051016,2.0
2015051017,1.0
2015051018,2.0
2015051019,0.0
2015051020,1.0
2015051021,0.0
2015051022,1.0
2015051023,0.0
2015051100,0.0
2015051101,0.0
2015051102,1.0
2015051103,2.0
2015051104,3.0
2015051105,0.0
2015051106,0.0
2015051107,0.0
2015051108,1.0
2015051109,2.0
2015051110,0.0
2015051111,2.0
2015051112,1.0
2015051113,2.0
2015051114,0.0
2015051115,0.0
2015051116,0.0
2015051117,0.0
2015051118,2.0
2015051119,2.0
2015051120,0.0
2015051121,3.0
2015051122,1.0
2015051123,1.0
2015051200,0.0
2015051201,0.0
2015051202,0.0
2015051203,0.0
2015051204,0.0
2015051205,0.0
2015051206,2.0
2015051207,1.0
2015051208,1.0
2015051209,0.0
2015051210,1.0
2015051211,2.0
2015051212,0.0
2015051213,2.0
2015051214,0.0
2015051215,0.0
2015051216,0.0
2015051217,3.0
2015051218,1.0
2015051219,1.0
2015051220,5.0
2015051221,0.0
2015051222,2.0
2015051223,0.0
2015051300,0.0
2015051301,1.0
2015051302,1.0
2015051303,2.0
2015051304,3.0
2015051305,1.0
2015051306,0.0
2015051307,0.0
2015051308,0.0
2015051309,0.0
2015051310,1.0
2015051311,0.0
2015051312,0.0
2015051313,0.0
2015051314,0.0
2015051315,0.0
2015051316,0.0
2015051317,0.0
2015051318,2.0
2015051319,4.0
2015051320,1.0
2015051321,1.0
2015051322,1.0
2015051323,0.0
2015051400,0.0
2015051401,1.0
2015051402,0.0
2015051403,0.0
2015051404,1.0
2015051405,0.0
2015051406,0.0
2015051407,1.0
2015051408,1.0
2015051409,1.0
2015051410,0.0
2015051411,0.0
2015051412,0.0
2015051413,1.0
2015051414,1.0
2015051415,0.0
2015051416,0.0
2015051417,0.0
2015051418,1.0
2015051419,1.0
2015051420,0.0
2015051421,1.0
2015051422,0.0
2015051423,2.0
2015051500,3.0
2015051501,0.0
2015051502,0.0
2015051503,1.0
2015051504,2.0
2015051505,0.0
2015051506,0.0
2015051507,0.0
2015051508,0.0
2015051509,0.0
2015051510,0.0
2015051511,0.0
2015051512,0.0
2015051513,0.0
2015051514,1.0
2015051515,1.0
2015051516,1.0
2015051517,0.0
2015051518,0.0
2015051519,1.0
2015051520,0.0
2015051521,2.0
2015051522,0.0
2015051523,0.0
2015051600,1.0
2015051601,2.0
2015051602,0.0
2015051603,0.0
2015051604,1.0
2015051605,2.0
2015051606,0.0
2015051607,1.0
2015051608,0.0
2015051609,1.0
2015051610,0.0
2015051611,0.0
2015051612,1.0
2015051613,1.0
2015051614,0.0
2015051615,0.0
2015051616,1.0
2015051617,0.0
2015051618,1.0
2015051619,1.0
2015051620,1.0
2015051621,0.0
2015051622,0.0
2015051623,5.0
2015051700,0.0
2015051701,1.0
2015051702,1.0
2015051703,1.0
2015051704,1.0
2015051705,1.0
2015051706,0.0
2015051707,0.0
2015051708,1.0
2015051709,1.0
2015051710,1.0
2015051711,1.0
2015051712,4.0
2015051713,2.0
2015051714,1.0
2015051715,2.0
2015051716,1.0
2015051717,2.0
2015051718,0.0
2015051719,0.0
2015051720,1.0
2015051721,0.0
2015051722,0.0
2015051723,3.0
2015051800,0.0
2015051801,3.0
2015051802,1.0
2015051803,2.0
2015051804,0.0
2015051805,0.0
2015051806,1.0
2015051807,1.0
2015051808,0.0
2015051809,0.0
2015051810,1.0
2015051811,0.0
2015051812,0.0
2015051813,0.0
2015051814,4.0
2015051815,0.0
2015051816,1.0
2015051817,1.0
2015051818,0.0
2015051819,0.0
2015051820,0.0
2015051821,2.0
2015051822,0.0
2015051823,0.0
2015051900,0.0
2015051901,2.0
2015051902,1.0
2015051903,0.0
2015051904,0.0
2015051905,1.0
2015051906,1.0
2015051907,1.0
2015051908,1.0
2015051909,1.0
2015051910,2.0
2015051911,0.0
2015051912,0.0
2015051913,0.0
2015051914,0.0
2015051915,1.0
2015051916,1.0
2015051917,2.0
2015051918,1.0
2015051919,1.0
2015051920,2.0
2015051921,1.0
2015051922,1.0
2015051923,0.0
2015052000,0.0
2015052001,0.0
2015052002,2.0
2015052003,0.0
2015052004,1.0
2015052005,0.0
2015052006,0.0
2015052007,1.0
2015052008,0.0
2015052009,0.0
2015052010,0.0
2015052011,1.0
2015052012,0.0
2015052013,0.0
2015052014,0.0
2015052015,0.0
2015052016,4.0
2015052017,2.0
2015052018,0.0
2015052019,0.0
2015052020,0.0
2015052021,3.0
2015052022,0.0
2015052023,0.0
2015052100,0.0
2015052101,0.0
2015052102,2.0
2015052103,0.0
2015052104,1.0
2015052105,0.0
2015052106,1.0
2015052107,3.0
2015052108,0.0
2015052109,0.0
2015052110,0.0
2015052111,0.0
2015052112,1.0
2015052113,0.0
2015052114,0.0
2015052115,1.0
2015052116,1.0
2015052117,0.0
2015052118,1.0
2015052119,0.0
2015052120,0.0
2015052121,1.0
2015052122,0.0
2015052123,1.0
