datetime,rate
2015020518,3.0
2015020519,3.0
2015020520,1.0
2015020521,14.0
2015020522,6.0
2015020523,34.0
2015020600,4.0
2015020601,16.0
2015020602,20.0
2015020603,9.0
2015020604,16.0
2015020605,19.0
2015020606,14.0
2015020607,11.0
2015020608,12.0
2015020609,7.0
2015020610,4.0
2015020611,1.0
2015020612,4.0
2015020613,2.0
2015020614,15.0
2015020615,14.0
2015020616,29.0
2015020617,8.0
2015020618,3.0
2015020619,6.0
2015020620,2.0
2015020621,11.0
2015020622,40.0
2015020623,23.0
2015020700,30.0
2015020701,28.0
2015020702,60.0
2015020703,69.0
2015020704,51.0
2015020705,69.0
2015020706,28.0
2015020707,33.0
2015020708,44.0
2015020709,19.0
2015020710,9.0
2015020711,13.0
2015020712,8.0
2015020713,76.0
2015020714,26.0
2015020715,12.0
2015020716,14.0
2015020717,17.0
2015020718,11.0
2015020719,7.0
2015020720,7.0
2015020721,2.0
2015020722,12.0
2015020723,5.0
2015020800,3.0
2015020801,27.0
2015020802,26.0
2015020803,32.0
2015020804,21.0
2015020805,32.0
2015020806,14.0
2015020807,12.0
2015020808,17.0
2015020809,11.0
2015020810,9.0
2015020811,16.0
2015020812,19.0
2015020813,7.0
2015020814,19.0
2015020815,9.0
2015020816,285.0
2015020817,113.0
2015020818,31.0
2015020819,17.0
2015020820,17.0
2015020821,14.0
2015020822,10.0
2015020823,6.0
2015020900,11.0
2015020901,8.0
2015020902,37.0
2015020903,111.0
2015020904,97.0
2015020905,139.0
2015020906,66.0
2015020907,27.0
2015020908,26.0
2015020909,14.0
2015020910,8.0
2015020911,10.0
2015020912,7.0
2015020913,11.0
2015020914,15.0
2015020915,6.0
2015020916,14.0
2015020917,14.0
2015020918,6.0
2015020919,24.0
2015020920,18.0
2015020921,10.0
2015020922,20.0
2015020923,18.0
2015021000,15.0
2015021001,9.0
2015021002,11.0
2015021003,19.0
2015021004,40.0
2015021005,73.0
2015021006,31.0
2015021007,12.0
2015021008,7.0
2015021009,15.0
2015021010,16.0
2015021011,12.0
2015021012,5.0
2015021013,0.0
2015021014,5.0
2015021015,34.0
2015021016,15.0
2015021017,15.0
2015021018,64.0
2015021019,100.0
2015021020,25.0
2015021021,18.0
2015021022,20.0
2015021023,14.0
2015021100,7.0
2015021101,8.0
2015021102,9.0
2015021103,8.0
2015021104,14.0
2015021105,12.0
2015021106,12.0
2015021107,38.0
2015021108,24.0
2015021109,5.0
2015021110,7.0
2015021111,6.0
2015021112,11.0
2015021113,4.0
2015021114,7.0
2015021115,6.0
2015021116,4.0
2015021117,18.0
2015021118,19.0
2015021119,22.0
2015021120,27.0
2015021121,21.0
2015021122,15.0
2015021123,15.0
2015021200,10.0
2015021201,27.0
2015021202,8.0
2015021203,14.0
2015021204,12.0
2015021205,30.0
2015021206,18.0
2015021207,18.0
2015021208,5.0
2015021209,4.0
2015021210,5.0
2015021211,1.0
2015021212,14.0
2015021213,9.0
2015021214,11.0
2015021215,7.0
2015021216,11.0
2015021217,6.0
2015021218,5.0
2015021219,13.0
2015021220,14.0
2015021221,55.0
2015021222,42.0
2015021223,15.0
2015021300,17.0
2015021301,13.0
2015021302,8.0
2015021303,5.0
2015021304,5.0
2015021305,21.0
2015021306,18.0
2015021307,14.0
2015021308,8.0
2015021309,9.0
2015021310,9.0
2015021311,8.0
2015021312,15.0
2015021313,9.0
2015021314,6.0
2015021315,4.0
2015021316,4.0
2015021317,13.0
2015021318,20.0
2015021319,52.0
2015021320,61.0
2015021321,31.0
2015021322,39.0
2015021323,79.0
2015021400,35.0
2015021401,20.0
2015021402,5.0
2015021403,4.0
2015021404,13.0
2015021405,14.0
2015021406,13.0
2015021407,10.0
2015021408,8.0
2015021409,7.0
2015021410,23.0
2015021411,8.0
2015021412,13.0
2015021413,17.0
2015021414,36.0
2015021415,3.0
2015021416,5.0
2015021417,14.0
2015021418,9.0
2015021419,38.0
2015021420,34.0
2015021421,42.0
2015021422,43.0
2015021423,157.0
2015021500,85.0
2015021501,54.0
2015021502,44.0
2015021503,10.0
2015021504,14.0
2015021505,13.0
2015021506,12.0
2015021507,17.0
2015021508,5.0
2015021509,3.0
2015021510,5.0
2015021511,15.0
2015021512,9.0
2015021513,11.0
2015021514,7.0
2015021515,17.0
2015021516,4.0
2015021517,10.0
2015021518,6.0
2015021519,10.0
2015021520,15.0
2015021521,22.0
2015021522,79.0
2015021523,40.0
2015021600,34.0
2015021601,20.0
2015021602,46.0
2015021603,16.0
2015021604,7.0
2015021605,6.0
2015021606,5.0
2015021607,3.0
2015021608,8.0
2015021609,11.0
2015021610,10.0
2015021611,8.0
2015021612,12.0
2015021613,4.0
2015021614,7.0
2015021615,3.0
2015021616,2.0
2015021617,1.0
2015021618,2.0
2015021619,3.0
2015021620,9.0
2015021621,9.0
2015021622,53.0
2015021623,94.0
2015021700,93.0
2015021701,85.0
2015021702,55.0
2015021703,24.0
2015021704,8.0
2015021705,11.0
2015021706,2.0
2015021707,3.0
2015021708,0.0
2015021709,0.0
2015021710,11.0
2015021711,10.0
2015021712,20.0
2015021713,15.0
2015021714,39.0
2015021715,4.0
2015021716,10.0
2015021717,2.0
2015021718,8.0
2015021719,9.0
2015021720,5.0
2015021721,8.0
2015021722,31.0
2015021723,100.0
2015021800,73.0
2015021801,207.0
2015021802,101.0
2015021803,39.0
2015021804,2.0
2015021805,6.0
2015021806,4.0
2015021807,1.0
2015021808,5.0
2015021809,3.0
2015021810,8.0
2015021811,11.0
2015021812,6.0
2015021813,11.0
2015021814,6.0
2015021815,22.0
2015021816,3.0
2015021817,3.0
2015021818,4.0
2015021819,7.0
2015021820,8.0
2015021821,7.0
2015021822,8.0
2015021823,115.0
2015021900,26.0
2015021901,24.0
2015021902,32.0
2015021903,12.0
2015021904,19.0
2015021905,6.0
2015021906,8.0
2015021907,6.0
2015021908,8.0
2015021909,1.0
2015021910,10.0
2015021911,15.0
2015021912,12.0
2015021913,8.0
2015021914,15.0
2015021915,6.0
2015021916,5.0
2015021917,6.0
2015021918,6.0
2015021919,2.0
2015021920,3.0
2015021921,3.0
2015021922,7.0
2015021923,13.0
2015022000,13.0
2015022001,52.0
2015022002,65.0
2015022003,146.0
2015022004,195.0
2015022005,32.0
2015022006,22.0
2015022007,13.0
2015022008,7.0
2015022009,6.0
2015022010,5.0
2015022011,5.0
2015022012,10.0
2015022013,4.0
2015022014,14.0
2015022015,17.0
2015022016,9.0
2015022017,13.0
2015022018,11.0
2015022019,7.0
2015022020,0.0
2015022021,1.0
2015022022,0.0
2015022023,2.0
2015022100,7.0
2015022101,19.0
2015022102,49.0
2015022103,109.0
2015022104,47.0
2015022105,18.0
2015022106,8.0
2015022107,5.0
2015022108,11.0
2015022109,3.0
2015022110,5.0
2015022111,9.0
2015022112,6.0
2015022113,33.0
2015022114,13.0
2015022115,38.0
2015022116,35.0
2015022117,10.0
2015022118,14.0
2015022119,9.0
2015022120,5.0
2015022121,2.0
2015022122,4.0
2015022123,23.0
2015022200,1.0
2015022201,6.0
2015022202,17.0
2015022203,95.0
2015022204,77.0
2015022205,49.0
2015022206,5.0
2015022207,11.0
2015022208,10.0
2015022209,12.0
2015022210,23.0
2015022211,128.0
2015022212,190.0
2015022213,98.0
